Position,Driver,Team,Points,Status
1.0,VET,Ferrari,25.0,Finished
2.0,BOT,Mercedes,18.0,Finished
3.0,HAM,Mercedes,15.0,Finished
4.0,GAS,Toro Rosso,12.0,Finished
5.0,MAG,Haas F1 Team,10.0,Finished
6.0,HUL,Renault,8.0,Finished
7.0,ALO,McLaren,6.0,+1 Lap
8.0,VAN,McLaren,4.0,+1 Lap
9.0,ERI,Sauber,2.0,+1 Lap
10.0,OCO,Force India,1.0,+1 Lap
11.0,SAI,Renault,0.0,+1 Lap
12.0,LEC,Sauber,0.0,+1 Lap
13.0,GRO,Haas F1 Team,0.0,+1 Lap
14.0,STR,Williams,0.0,+1 Lap
15.0,SIR,Williams,0.0,+1 Lap
16.0,PER,Force India,0.0,+1 Lap
17.0,HAR,Toro Rosso,0.0,+1 Lap
18.0,RAI,Ferrari,0.0,Wheel
19.0,VER,Red Bull Racing,0.0,Puncture
20.0,RIC,Red Bull Racing,0.0,Electrical
