Position,Driver,Team,Points,Status
1.0,VET,Ferrari,25.0,Finished
2.0,HAM,Mercedes,18.0,Finished
3.0,RAI,Ferrari,15.0,Finished
4.0,BOT,Mercedes,12.0,Finished
5.0,RIC,Red Bull Racing,10.0,Finished
6.0,HUL,Renault,8.0,Finished
7.0,OCO,Force India,6.0,Finished
8.0,ALO,McLaren,4.0,Finished
9.0,MAG,Haas F1 Team,2.0,Finished
10.0,PER,Force India,1.0,Finished
11.0,VAN,McLaren,0.0,Finished
12.0,STR,Williams,0.0,Finished
13.0,GAS,Toro Rosso,0.0,Finished
14.0,SIR,Williams,0.0,Finished
15.0,VER,Red Bull Racing,0.0,Brakes
16.0,GRO,Haas F1 Team,0.0,Collision
17.0,SAI,Renault,0.0,Collision
18.0,ERI,Sauber,0.0,Accident
19.0,LEC,Sauber,0.0,Tyre
20.0,HAR,Toro Rosso,0.0,Power Unit
